#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
1000,-477677.03442059585,70051.2390028769,257.05478058752954
2000,-464849.2833888379,79806.2544773089,292.8510548305175
3000,-461612.98798273015,81428.12824304441,298.80256134098323
4000,-461464.04230539524,81679.7292914917,299.72581770624976
5000,-461403.4237005695,81990.63502604439,300.8666941063882
6000,-462857.158755811,82508.41585866315,302.76670387374975
7000,-461569.77021126996,82774.26269917018,303.74223553070755
8000,-462031.7837529255,82270.64587181962,301.894200936352
9000,-461758.7967428914,81367.97964931837,298.5818445659057
10000,-462111.3167397835,80877.28343215819,296.78122247509503
11000,-462931.36997228314,81614.87670050708,299.48783949510914
12000,-461490.2088353666,81879.74771945692,300.4597903503588
13000,-462344.06659835024,81697.04894603783,299.789372613523
14000,-461891.9903351285,81747.7224694875,299.9753203802915
15000,-461739.6179350147,82386.36114337637,302.3188210310719
16000,-463646.32791385485,81522.67781392012,299.14951336555913
17000,-462123.00807060034,82411.58851553783,302.4113935067064
18000,-462968.5404345489,81233.09331787766,298.0868757855345
19000,-463101.9652663623,81827.17706591223,300.2668810170675
20000,-462840.6675330901,81151.990632434,297.78926744471806
21000,-461911.1868333288,81563.25052905109,299.29839596255937
22000,-462525.6143310443,82517.25052921877,302.79912291920226
23000,-462355.3200660515,81092.47859508019,297.5708865292332
24000,-462598.56638530234,82043.53369304248,301.0608070932836
25000,-462733.49006342125,81909.1548627544,300.5677006011358
26000,-462509.0307684857,82059.37429812274,301.1189345914012
27000,-462608.2877956322,82279.8702705153,301.928050099001
28000,-462458.5268338436,82829.56626519983,303.9451733549889
29000,-462773.1632505496,82478.98960225955,302.6587234869499
30000,-462096.5094398377,81823.54388641604,300.253548973673
31000,-462184.538525525,81235.82204014204,298.09688890040496
32000,-462122.2518219055,81905.8461198626,300.5555590860081
33000,-462328.33748479467,81795.76159465277,300.15160115640265
34000,-462478.85003409395,82214.26111408202,301.6872956519484
35000,-463805.48617643816,80944.71329174755,297.02865803809885
36000,-462608.5744018314,81348.9324650716,298.5119504450157
37000,-463228.20770191017,81687.39502738629,299.75394731661027
38000,-463933.1221816851,81737.52922560909,299.9379160159157
39000,-463288.37170165044,82111.82680288563,301.31141037477084
40000,-463342.07490599004,81608.22699041523,299.46343821694535
41000,-462997.5514540325,81263.35461192271,298.1979203639284
42000,-464073.955529915,81909.81331894273,300.5701168226535
43000,-463201.46398125665,81836.94725089186,300.30273295619077
44000,-463322.56763504917,81465.05966331626,298.93808211506087
45000,-463500.423142226,81493.07132213279,299.0408716004928
46000,-463226.0366355102,81201.69429007657,297.971656264553
47000,-463026.19994259905,81908.24925860249,300.56437746395966
48000,-463156.06769122917,80853.53862751549,296.6940903181995
49000,-464247.18921856425,82106.8618240556,301.29319126027775
50000,-463859.84934637306,80932.03673028822,296.98214107750096
51000,-463607.9688516256,81946.4475009584,300.7045468734861
52000,-463343.09314690664,81700.3783318894,299.80158987850996
53000,-463419.05228045816,82486.15006993398,302.68499900288873
54000,-463793.2081237439,82080.03087248902,301.19473440974843
55000,-465155.18692892947,81536.02344595017,299.1984854974174
56000,-465361.40743453766,81673.97715522324,299.70471009776986
57000,-464236.7079940417,81129.43812708146,297.70651046000785
58000,-463681.4666254373,82479.89160253516,302.6620333996115
59000,-464684.9690152017,81467.01028008673,298.9452399522823
60000,-466533.89922920894,81732.2004629489,299.9183619875228
61000,-465500.35083253385,81922.99292482014,300.6184797173755
62000,-466020.3850580683,81910.39996436427,300.57226953275915
63000,-466441.9008919146,81411.64123017443,298.74206183324907
64000,-465513.8017860457,81221.06163864252,298.042725236452
65000,-466336.67551668984,81812.59927438787,300.213387445004
