#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
10000,-2295604.2879335694,310.38306386701925,0
20000,-2298150.278601518,309.9583393263073,48.9
30000,-2296208.589457987,310.29996059881205,48.8
40000,-2294512.770075243,311.29794930126235,48.8
50000,-2295532.9850530494,311.09743818003136,48.8
60000,-2297699.107121015,310.7432853489165,48.8
70000,-2294226.092570711,309.1165090272752,48.7
80000,-2296575.2192421164,309.8574969139536,48.7
90000,-2298192.5922549292,311.18109847721206,48.7
100000,-2294672.540370496,308.83055917751034,48.7
110000,-2297632.275067771,310.72223185304546,48.7
120000,-2297507.0845069885,308.747780044914,48.7
130000,-2296361.3718989156,311.56291015369254,48.7
140000,-2294521.6952508,310.4082643629415,48.7
150000,-2294088.807897836,310.94171540137046,48.6
160000,-2296089.4726262763,309.4644877894001,48.6
170000,-2294332.6170332674,310.9302259697659,48.6
180000,-2296007.3477106914,309.1676206543269,48.6
190000,-2298230.7176912837,310.2629318754489,48.6
200000,-2296932.1184885334,310.6700111490538,48.6
210000,-2295354.643734906,312.0996399227796,48.6
220000,-2297416.871627005,309.2928164737215,48.6
230000,-2298011.389775941,311.3081491228422,48.6
240000,-2296692.967436513,309.9921845299266,48.6
250000,-2297361.7949769124,310.8722710847922,48.6
260000,-2297644.6840408184,311.1396866078196,48.6
270000,-2297958.1320762876,308.9043097910036,48.6
280000,-2296644.8088809773,309.4186475756279,48.6
290000,-2299120.511742251,311.7615451159628,48.6
300000,-2298415.560277909,309.48689070195,48.6
310000,-2297527.852213355,308.9657421740678,48.6
320000,-2297416.2753767334,309.80514002720525,48.6
330000,-2295269.335028272,310.7402384898605,48.6
340000,-2298689.265401313,309.9368475656585,48.6
350000,-2297308.359743418,309.5812147832317,48.6
360000,-2294511.4779366925,310.0742830211458,48.6
370000,-2298999.137890335,310.55114586798584,48.6
380000,-2298142.1947430614,310.8831325842854,48.6
390000,-2297721.1639753785,310.4228077942255,48.6
400000,-2295805.482494492,311.159315520576,48.6
410000,-2296330.820302753,311.52984196136856,48.6
420000,-2299654.6592059806,311.13673385729834,48.6
430000,-2297415.064003736,309.4909673856023,48.6
440000,-2295656.156895701,310.00420306047215,48.6
450000,-2297576.8811121117,311.85843632462195,48.6
460000,-2294640.834423052,311.6783342585134,48.6
